time,second_number
2024-06-12 20:51:17.229843164,1.69078827
2024-06-12 20:52:17.014253988,1.52261400
2024-06-12 20:53:17.629606455,1.51471782
2024-06-12 20:54:17.238996592,1.52239895
2024-06-12 20:55:17.853423801,1.67359567
2024-06-12 20:56:17.621112482,1.68555427
2024-06-12 20:57:17.400403764,1.51946855
2024-06-12 20:58:17.013644170,1.71540618
2024-06-12 20:59:17.822554276,1.70692301
2024-06-12 21:00:17.623253072,1.55337834
