timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-30T23:55:54,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,2m,16Mi
2024-05-30T23:55:54,knative-serving,activator-55d856fccd-qvr7m,2m,52Mi
2024-05-30T23:55:54,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,54Mi
2024-05-30T23:55:54,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,2m,14Mi
2024-05-30T23:55:54,knative-serving,controller-78b7976cc6-49kvb,4m,29Mi
2024-05-30T23:55:54,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,23Mi
2024-05-30T23:55:54,knative-serving,webhook-7c7b4cd674-9zjs4,3m,18Mi
2024-05-30T23:55:54,knative-operator,knative-operator-57b95565df-2pnbg,2m,24Mi
2024-05-30T23:55:54,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,24Mi
2024-05-30T23:56:24,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,16Mi
2024-05-30T23:56:24,knative-serving,activator-55d856fccd-qvr7m,1m,52Mi
2024-05-30T23:56:24,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,55Mi
2024-05-30T23:56:24,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,14Mi
2024-05-30T23:56:24,knative-serving,controller-78b7976cc6-49kvb,3m,29Mi
2024-05-30T23:56:24,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,23Mi
2024-05-30T23:56:24,knative-serving,webhook-7c7b4cd674-9zjs4,3m,18Mi
2024-05-30T23:56:24,knative-operator,knative-operator-57b95565df-2pnbg,2m,24Mi
2024-05-30T23:56:24,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,24Mi
2024-05-30T23:56:54,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,16Mi
2024-05-30T23:56:54,knative-serving,activator-55d856fccd-qvr7m,2m,52Mi
2024-05-30T23:56:54,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,55Mi
2024-05-30T23:56:54,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,14Mi
2024-05-30T23:56:54,knative-serving,controller-78b7976cc6-49kvb,4m,29Mi
2024-05-30T23:56:54,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,23Mi
2024-05-30T23:56:54,knative-serving,webhook-7c7b4cd674-9zjs4,4m,18Mi
2024-05-30T23:56:54,knative-operator,knative-operator-57b95565df-2pnbg,2m,24Mi
2024-05-30T23:56:54,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,24Mi
2024-05-30T23:57:24,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,16Mi
2024-05-30T23:57:24,knative-serving,activator-55d856fccd-qvr7m,1m,52Mi
2024-05-30T23:57:24,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,55Mi
2024-05-30T23:57:24,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,14Mi
2024-05-30T23:57:24,knative-serving,controller-78b7976cc6-49kvb,4m,29Mi
2024-05-30T23:57:24,knative-serving,net-kourier-controller-7875894b5c-wn8p2,2m,23Mi
2024-05-30T23:57:24,knative-serving,webhook-7c7b4cd674-9zjs4,4m,18Mi
2024-05-30T23:57:24,knative-operator,knative-operator-57b95565df-2pnbg,2m,24Mi
2024-05-30T23:57:24,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,24Mi
2024-05-30T23:57:54,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,2m,16Mi
2024-05-30T23:57:54,knative-serving,activator-55d856fccd-qvr7m,2m,53Mi
2024-05-30T23:57:54,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,55Mi
2024-05-30T23:57:54,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,14Mi
2024-05-30T23:57:54,knative-serving,controller-78b7976cc6-49kvb,4m,29Mi
2024-05-30T23:57:54,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,23Mi
2024-05-30T23:57:54,knative-serving,webhook-7c7b4cd674-9zjs4,3m,18Mi
2024-05-30T23:57:55,knative-operator,knative-operator-57b95565df-2pnbg,2m,24Mi
2024-05-30T23:57:55,knative-operator,operator-webhook-5b5f7f8b5-bs5n6,3m,24Mi
2024-05-30T23:58:24,knative-serving,3scale-kourier-gateway-75f4757658-hvl65,3m,16Mi
2024-05-30T23:58:24,knative-serving,activator-55d856fccd-qvr7m,1m,53Mi
2024-05-30T23:58:24,knative-serving,autoscaler-5df8b7c68-vl5zb,3m,55Mi
2024-05-30T23:58:24,knative-serving,autoscaler-hpa-56d9b7ccbc-8f6bl,1m,14Mi
2024-05-30T23:58:24,knative-serving,controller-78b7976cc6-49kvb,4m,29Mi
2024-05-30T23:58:24,knative-serving,net-kourier-controller-7875894b5c-wn8p2,1m,23Mi
2024-05-30T23:58:24,knative-serving,webhook-7c7b4cd674-9zjs4,3m,18Mi
2024-05-30T23:58:24,knative-operator,knative-operator-57b95565df-2pnbg,2m,24Mi
