Autoscaler,Mean Latency,CI 95 Lower,CI 95 Upper,95th Percentile,99th Percentile
"Kubernetes
HPA",26.50786166191101,22.057233597538083,30.95848972628394,34.65837311744689,37.88913292884827
"Reflex
(Microservice-Based)",7.714063940048217,6.76739675915435,8.660731120942085,10.022597634792325,10.374012248516081
Knative,4.724966931343078,4.392388452180478,5.0575454105056785,5.395163369178772,5.411203923225403
"Reflex
(Serverless)",3.3231128215789796,2.793262069708812,3.852963573449147,4.296021187305451,4.296056120395661
