autoscaler,state,avg_cpu_millicores,avg_memory_mib,95_ci_cpu,95_ci_memory
HPA,busy,2.3333333333333335,20.0,0.3324270920263898,2.0859634472658364
HPA,idle,2.9047619047619047,19.19047619047619,0.31879097027804504,2.008120261263647
KEDA,busy,1193.142857142857,157.52380952380952,136.74481106170632,16.463084049801818
KEDA,idle,33.36363636363637,127.95454545454545,4.667328695338914,17.189541640852152
Knative,busy,1699.8260869565217,451.69565217391306,347.0607956076018,75.799623556986
Knative,idle,17.125,217.625,2.627643949824745,34.423427194746125
Reflex (Serverless),busy,0.6327868852459015,43.75409836065574,0.09771726655597954,1.4709949801099773
Reflex (Serverless),idle,0.7688524590163933,43.60655737704918,0.10951501265460878,1.4587730258069134
