Service,Mean,95% CI Lower,95% CI Upper,95th Percentile,99th Percentile
Keda,2.033407641,1.9560936965876978,2.1107215854123025,2.1636540535,2.1682843627
Knative,1.043851189,0.9923133921828411,1.0953889858171588,1.1580053449999999,1.228786205
Reflex,1.6104845060000001,1.546247078595494,1.6747219334045063,1.7115887535,1.7146426947
