time,second_number
2024-06-02 13:12:25,1.04986792
2024-06-02 13:13:25,1.24648142
2024-06-02 13:14:25,1.01741433
2024-06-02 13:15:25,1.01329827
2024-06-02 13:16:25,1.01548433
2024-06-02 13:17:25,1.02068210
2024-06-02 13:18:25,1.01691556
2024-06-02 13:19:25,1.02422547
2024-06-02 13:20:25,1.00999808
2024-06-02 13:21:25,1.02414441
